"description","value","TestID","R.Time","Matlab.Time"
"Recording.ID","CAPTIVE_1yr-juvenile","test12_Wednesday",NA,NA
"Seal.Number","12","test12_Wednesday",NA,NA
"Sex","F","test12_Wednesday",NA,NA
"Age","(0,1]","test12_Wednesday",NA,NA
"Age.Estimate","~0.8 years old","test12_Wednesday",NA,NA
"Version","V1","test12_Wednesday",NA,NA
"Deployment","1","test12_Wednesday",NA,NA
"Seal.ID","E645","test12_Wednesday",NA,NA
"Pressed.Start.Logger","10/25/2019 8:20","test12_Wednesday",NA,NA
"Logger.Start","10/25/2019 8:21","test12_Wednesday",NA,NA
"Start.for.EDF.Files","21:03.0","test12_Wednesday",NA,NA
"ON.ANIMAL","10/25/2019 14:45","test12_Wednesday",NA,NA
"Logger.Stop","not recorded - off","test12_Wednesday",NA,NA
"Device.Failure","Yes","test12_Wednesday",NA,NA
"Standard.Length","154","test12_Wednesday",NA,NA
"Curved.Length","179","test12_Wednesday",NA,NA
"Ax.Girth","132","test12_Wednesday",NA,NA
"Mass.with.cage_kg","200","test12_Wednesday",NA,NA
"Mass.cage_kg","82","test12_Wednesday",NA,NA
"Mass.animal._kg","118","test12_Wednesday",NA,NA
"Flipper.Tag.1","GE645","test12_Wednesday",NA,NA
"Position","L-ou-Si","test12_Wednesday",NA,NA
"Flipper.Tag.2","GG734","test12_Wednesday",NA,NA
"Position.1","R-iu-So","test12_Wednesday",NA,NA
"Mark","No Mark","test12_Wednesday",NA,NA
"Mark.Position","No Mark","test12_Wednesday",NA,NA
"Birth.date","probably in 2019","test12_Wednesday",NA,NA
"Wean.date","unknown","test12_Wednesday",NA,NA
"Tagged.date","unknown","test12_Wednesday",NA,NA
"Wean.weight_kg","unknown","test12_Wednesday",NA,NA
"Weaner.ID","unknown","test12_Wednesday",NA,NA
"Wean.Standard.Length","unknown","test12_Wednesday",NA,NA
"Wean.Ax.Girth","unknown","test12_Wednesday",NA,NA
"Animal.ID","51163","test12_Wednesday",NA,NA
"Deployment.Resight.ID","334707","test12_Wednesday",NA,NA
"Deploy.ID","NESE0000LOML","test12_Wednesday",NA,NA
"TOPP.ID","2019058","test12_Wednesday",NA,NA
"Deploy.Latitude","36.948644","test12_Wednesday",NA,NA
"Deploy.Longitude","-122.065416","test12_Wednesday",NA,NA
"Initial.sedation.location","BBNS","test12_Wednesday",NA,NA
"Blood","Yes","test12_Wednesday",NA,NA
"Whisker","N","test12_Wednesday",NA,NA
"Fur","N","test12_Wednesday",NA,NA
"Blubber","N","test12_Wednesday",NA,NA
"Recording.Duration_s","317752.316","test12_Wednesday",NA,NA
"Recording.Duration_days","3.677688843","test12_Wednesday",NA,NA
"Begin.Calm.in.Water.for.ICA","10/28/2019 5:52","test12_Wednesday",NA,NA
"End.Calm.in.Water.for.ICA","10/28/2019 6:08","test12_Wednesday",NA,NA
"Duration.for.ICA","0:16:00","test12_Wednesday",NA,NA
"Best.EOG.EMG.EEG","2,4,7,8","test12_Wednesday",NA,NA
"ICA.Decomposition.Quality","Excellent","test12_Wednesday",NA,NA
"ICA.Component.Maximal.Brain","5","test12_Wednesday",NA,NA
"ICA.Component.Maximal.Heart","2","test12_Wednesday",NA,NA
"Pruned.with.ICA.Components","1,2","test12_Wednesday",NA,NA
"Recording.ID","WILD_2mo-weanling","test20_SnoozySuzy",NA,NA
"Seal.Number","17","test20_SnoozySuzy",NA,NA
"Sex","F","test20_SnoozySuzy",NA,NA
"Age","(0,1]","test20_SnoozySuzy",NA,NA
"Age.Estimate","75 days old","test20_SnoozySuzy",NA,NA
"Version","V2","test20_SnoozySuzy",NA,NA
"Deployment","2","test20_SnoozySuzy",NA,NA
"Seal.ID","H312","test20_SnoozySuzy",NA,NA
"Pressed.Start.Logger","4/10/2020 17:09","test20_SnoozySuzy",NA,NA
"Logger.Start","4/10/2020 17:10","test20_SnoozySuzy",NA,NA
"Start.for.EDF.Files","10:01.5","test20_SnoozySuzy",NA,NA
"ON.ANIMAL","4/11/2020 16:46","test20_SnoozySuzy",NA,NA
"OFF.ANIMAL","4/14/2020 18:34","test20_SnoozySuzy",NA,NA
"Logger.Stop","not recorded - off","test20_SnoozySuzy",NA,NA
"Device.Failure","No","test20_SnoozySuzy",NA,NA
"Standard.Length","165","test20_SnoozySuzy",NA,NA
"Curved.Length","177","test20_SnoozySuzy",NA,NA
"Ax.Girth","143","test20_SnoozySuzy",NA,NA
"Mass.animal._kg","~200 (not weighed)","test20_SnoozySuzy",NA,NA
"Flipper.Tag.1","GH312","test20_SnoozySuzy",NA,NA
"Position","R-ou-Si","test20_SnoozySuzy",NA,NA
"Flipper.Tag.2","GH510","test20_SnoozySuzy",NA,NA
"Position.1","L-iu-Si","test20_SnoozySuzy",NA,NA
"Mark","702","test20_SnoozySuzy",NA,NA
"Mark.Position","R,L","test20_SnoozySuzy",NA,NA
"Birth.date","b/w Jan-23 & 29","test20_SnoozySuzy",NA,NA
"Wean.date","3/5/2020 0:00","test20_SnoozySuzy",NA,NA
"Tagged.date","unknown","test20_SnoozySuzy",NA,NA
"Wean.weight_kg","199.8","test20_SnoozySuzy",NA,NA
"Weaner.ID","not recorded","test20_SnoozySuzy",NA,NA
"Wean.Standard.Length","unknown","test20_SnoozySuzy",NA,NA
"Wean.Ax.Girth","unknown","test20_SnoozySuzy",NA,NA
"Animal.ID","51536","test20_SnoozySuzy",NA,NA
"Deployment.Resight.ID","347591","test20_SnoozySuzy",NA,NA
"Deploy.ID","NESE0840ANNU","test20_SnoozySuzy",NA,NA
"TOPP.ID","2020045","test20_SnoozySuzy",NA,NA
"Deploy.Latitude","37.113761","test20_SnoozySuzy",NA,NA
"Deploy.Longitude","-122.327811","test20_SnoozySuzy",NA,NA
"Initial.sedation.location","APG","test20_SnoozySuzy",NA,NA
"Blood","Yes","test20_SnoozySuzy",NA,NA
"Hematocrit","58 / 58 / 57 / broke","test20_SnoozySuzy",NA,NA
"Whisker","N","test20_SnoozySuzy",NA,NA
"Fur","N","test20_SnoozySuzy",NA,NA
"Blubber","N","test20_SnoozySuzy",NA,NA
"Recording.Duration_s","361858.448","test20_SnoozySuzy",NA,NA
"Recording.Duration_days","4.188176481","test20_SnoozySuzy",NA,NA
"Begin.Calm.in.Water.for.ICA","4/12/2020 9:34","test20_SnoozySuzy",NA,NA
"End.Calm.in.Water.for.ICA","4/12/2020 9:47","test20_SnoozySuzy",NA,NA
"Duration.for.ICA","0:12:38","test20_SnoozySuzy",NA,NA
"Best.EOG.EMG.EEG","3,4,7,8","test20_SnoozySuzy",NA,NA
"ICA.Decomposition.Quality","Good","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Brain","6","test20_SnoozySuzy",NA,NA
"ICA.Component.Maximal.Heart","1","test20_SnoozySuzy",NA,NA
"Pruned.with.ICA.Components","1,2,3,4","test20_SnoozySuzy",NA,NA
"Recording.ID","WILD_2yr-juvenile","test21_DozyDaisy",NA,NA
"Seal.Number","21","test21_DozyDaisy",NA,NA
"Sex","F","test21_DozyDaisy",NA,NA
"Age","(2,3]","test21_DozyDaisy",NA,NA
"Age.Estimate","2.2 years old","test21_DozyDaisy",NA,NA
"Version","V2","test21_DozyDaisy",NA,NA
"Deployment","3","test21_DozyDaisy",NA,NA
"Seal.ID","E411","test21_DozyDaisy",NA,NA
"Pressed.Start.Logger","4/24/2020 16:59","test21_DozyDaisy",NA,NA
"Logger.Start","4/24/2020 17:00","test21_DozyDaisy",NA,NA
"Start.for.EDF.Files","00:01.0","test21_DozyDaisy",NA,NA
"ON.ANIMAL","4/25/2020 11:14","test21_DozyDaisy",NA,NA
"OFF.ANIMAL","4/28/2020 14:24","test21_DozyDaisy",NA,NA
"Logger.Stop","4/28/2020 17:55","test21_DozyDaisy",NA,NA
"Device.Failure","No","test21_DozyDaisy",NA,NA
"Standard.Length","187","test21_DozyDaisy",NA,NA
"Curved.Length","200","test21_DozyDaisy",NA,NA
"Ax.Girth","102","test21_DozyDaisy",NA,NA
"Mass.animal._kg","around 120","test21_DozyDaisy",NA,NA
"Flipper.Tag.1","GE411","test21_DozyDaisy",NA,NA
"Position","L-iu-So","test21_DozyDaisy",NA,NA
"Flipper.Tag.2","GG751","test21_DozyDaisy",NA,NA
"Position.1","R-ou-Si","test21_DozyDaisy",NA,NA
"Mark","E411","test21_DozyDaisy",NA,NA
"Mark.Position","R,L","test21_DozyDaisy",NA,NA
"Birth.date","in 2018","test21_DozyDaisy",NA,NA
"Wean.date","unknown","test21_DozyDaisy",NA,NA
"Tagged.date","unknown","test21_DozyDaisy",NA,NA
"Wean.weight_kg","unknown","test21_DozyDaisy",NA,NA
"Weaner.ID","not recorded","test21_DozyDaisy",NA,NA
"Wean.Standard.Length","unknown","test21_DozyDaisy",NA,NA
"Wean.Ax.Girth","unknown","test21_DozyDaisy",NA,NA
"Animal.ID","49677","test21_DozyDaisy",NA,NA
"Deployment.Resight.ID","348614","test21_DozyDaisy",NA,NA
"Deploy.ID","NESE0841ANNU","test21_DozyDaisy",NA,NA
"TOPP.ID","2020046","test21_DozyDaisy",NA,NA
"Deploy.Latitude","37.113761","test21_DozyDaisy",NA,NA
"Deploy.Longitude","-122.327811","test21_DozyDaisy",NA,NA
"Initial.sedation.location","BBN","test21_DozyDaisy",NA,NA
"Blood","Yes","test21_DozyDaisy",NA,NA
"Whisker","Y - LD1","test21_DozyDaisy",NA,NA
"Fur","N","test21_DozyDaisy",NA,NA
"Blubber","N","test21_DozyDaisy",NA,NA
"Ultrasound.skull.depth_cm","2.5","test21_DozyDaisy",NA,NA
"Recording.Duration_s","348857.656","test21_DozyDaisy",NA,NA
"Recording.Duration_days","4.037704352","test21_DozyDaisy",NA,NA
"Recording.Duration_based.on.start.stop","4.038194444","test21_DozyDaisy",NA,NA
"Begin.Calm.in.Water.for.ICA","4/27/2020 7:35","test21_DozyDaisy",NA,NA
"End.Calm.in.Water.for.ICA","4/27/2020 7:42","test21_DozyDaisy",NA,NA
"Duration.for.ICA","0:07:28","test21_DozyDaisy",NA,NA
"Best.EOG.EMG.EEG","3,5,7,8","test21_DozyDaisy",NA,NA
"ICA.Decomposition.Quality","OK","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Brain","7","test21_DozyDaisy",NA,NA
"ICA.Component.Maximal.Heart","2","test21_DozyDaisy",NA,NA
"Pruned.with.ICA.Components","1,2,3,9","test21_DozyDaisy",NA,NA
"Recording.ID","CAPTIVE_2yr-juvenile","test23_AshyAshley",NA,NA
"Seal.Number","14","test23_AshyAshley",NA,NA
"Sex","F","test23_AshyAshley",NA,NA
"Age","(1,2]","test23_AshyAshley",NA,NA
"Age.Estimate","1.8 years old","test23_AshyAshley",NA,NA
"Version","V2","test23_AshyAshley",NA,NA
"Deployment","4","test23_AshyAshley",NA,NA
"Seal.ID","E710","test23_AshyAshley",NA,NA
"Pressed.Start.Logger","9/26/2020 15:59","test23_AshyAshley",NA,NA
"Logger.Start","9/26/2020 16:00","test23_AshyAshley",NA,NA
"Start.for.EDF.Files","59:59.2","test23_AshyAshley",NA,NA
"ON.ANIMAL","9/27/2020 13:04","test23_AshyAshley",NA,NA
"OFF.ANIMAL","10/2/2020 9:55","test23_AshyAshley",NA,NA
"Logger.Stop","10/2/2020 11:05","test23_AshyAshley",NA,NA
"Device.Failure","No","test23_AshyAshley",NA,NA
"Standard.Length","188","test23_AshyAshley",NA,NA
"Curved.Length","199","test23_AshyAshley",NA,NA
"Ax.Girth","124","test23_AshyAshley",NA,NA
"Mass.with.cage_kg","222","test23_AshyAshley",NA,NA
"Mass.cage_kg","81","test23_AshyAshley",NA,NA
"Mass.animal._kg","141","test23_AshyAshley",NA,NA
"Flipper.Tag.1","GE711","test23_AshyAshley",NA,NA
"Position","R-iu-Si","test23_AshyAshley",NA,NA
"Flipper.Tag.2","GE710","test23_AshyAshley",NA,NA
"Position.1","L-il-Si","test23_AshyAshley",NA,NA
"Mark","E711","test23_AshyAshley",NA,NA
"Mark.Position","R","test23_AshyAshley",NA,NA
"Birth.date","1/11/2019 (first sighting)","test23_AshyAshley",NA,NA
