"","PairLabel","Day","MinSec","MeanSec","Standardized","Seal.ID","Location","Version","Phase","AGE","Deployment","Seal.Number","SWS","REM","Days.Elapsed"
"1",1,0,8102,9065,11.8725148923062,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",20.45403836,1.722805871,0.104918981481481
"2",2,0,10698,11186,12.9334977534996,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",26.27422492,2.03148641,0.129467592592593
"3",3,0,12432,12863.5,18.2918420156179,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",26.0893847,1.426285263,0.148883101851852
"4",4,0,14492,14818.5,7.91203095363115,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",13.44748629,1.699625086,0.171510416666667
"5",5,0,16010,16460.5,12.5231638763236,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",25.48881579,2.035333566,0.190515046296296
"6",6,0,17635,18159,16.3825772264864,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",22.17204229,1.353391593,0.210173611111111
"7",7,0,22127,22336.5,16.5872455750374,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",30.9517779,1.865998653,0.258524305555556
"8",8,0,24324,24881.5,12.9415169212662,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",22.75870221,1.758580725,0.287980324074074
"9",9,0,26244,27060,15.250766024847,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",25.4322265,1.667603218,0.313194444444444
"10",10,0,28791,28911,15.6030798096632,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",21.78269436,1.396050948,0.334618055555556
"11",11,0,29701,30242.5,11.8927060481299,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",26.34863515,2.215529001,0.350028935185185
"12",12,0,31463,31885.5,10.9438502085438,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",25.12328798,2.295653495,0.369045138888889
"13",13,0,33674,33727,7.87100407130966,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",20.49075226,2.603321263,0.390358796296296
"14",14,0,35837,35933.5,8.53632330986432,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",16.49100155,1.931862343,0.415896990740741
"15",15,0,36767,37233,23.6125079629202,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",32.08496198,1.358812119,0.4309375
"16",16,0,38581,39355.5,11.968950856994,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",18.32149016,1.530751557,0.455503472222222
"17",17,0,43294,43447,13.4306222991598,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",30.22624808,2.250547101,0.502858796296296
"18",18,0,44986,45032,7.93481683110538,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",16.20519244,2.042289417,0.521203703703704
"19",19,0,46101,46280.5,10.7773732325623,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",24.71593686,2.293317335,0.535653935185185
"20",20,0,51022,51129,25.5517760041262,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",29.96724966,1.172804961,0.591770833333333
"21",21,0,53304,53374,17.1264678175308,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",34.43211865,2.010462345,0.61775462962963
"22",22,0,54234,54407.5,15.1484369477281,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",25.4183977,1.677955144,0.629716435185185
"23",23,0,58728,58857,21.6599671807423,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",32.0963755,1.481829369,0.681215277777778
"24",24,0,60294,60488,20.4715497373713,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",41.2440488,2.014700857,0.700092592592593
"25",25,0,61872,61973,19.4262556262671,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",33.43726632,1.721240931,0.717280092592593
"26",26,0,63676,63816.5,29.0259941798115,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",45.04218577,1.551787873,0.738616898148148
"27",27,0,72489,72728,13.8410515850751,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",15.15325619,1.094805268,0.841759259259259
"28",28,0,74080,75863.5,8.86589831062055,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",10.46885558,1.180800322,0.878049768518519
"29",29,0,78564,78667,14.3977324250691,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",15.17143096,1.053737527,0.910497685185185
"30",30,0,79604,79792,10.1115075699774,"test12_Wednesday","LAND","V1","LAND01","(0,1]","1","12",9.902600325,0.979339654,0.923518518518519
